province_code,province_name,ward_code,ward_name,ward_type,full_address
96,Cà Mau,31867,Phước Long,Xã,"Xã Phước Long, Tỉnh Cà Mau"
96,Cà Mau,32182,Quách Phẩm,Xã,"Xã Quách Phẩm, Tỉnh Cà Mau"
96,Cà Mau,32098,Sông Đốc,Xã,"Xã Sông Đốc, Tỉnh Cà Mau"
96,Cà Mau,32155,Tạ An Khương,Xã,"Xã Tạ An Khương, Tỉnh Cà Mau"
96,Cà Mau,32206,Tam Giang,Xã,"Xã Tam Giang, Tỉnh Cà Mau"
96,Cà Mau,32236,Tân Ân,Xã,"Xã Tân Ân, Tỉnh Cà Mau"
96,Cà Mau,32137,Tân Hưng,Xã,"Xã Tân Hưng, Tỉnh Cà Mau"
96,Cà Mau,32083,Tân Lộc,Xã,"Xã Tân Lộc, Tỉnh Cà Mau"
96,Cà Mau,32025,Tân Thành,Phường,"Phường Tân Thành, Tỉnh Cà Mau"
96,Cà Mau,32167,Tân Thuận,Xã,"Xã Tân Thuận, Tỉnh Cà Mau"
96,Cà Mau,32188,Tân Tiến,Xã,"Xã Tân Tiến, Tỉnh Cà Mau"
96,Cà Mau,32185,Thanh Tùng,Xã,"Xã Thanh Tùng, Tỉnh Cà Mau"
96,Cà Mau,32065,Thới Bình,Xã,"Xã Thới Bình, Tỉnh Cà Mau"
96,Cà Mau,32161,Trần Phán,Xã,"Xã Trần Phán, Tỉnh Cà Mau"
96,Cà Mau,32095,Trần Văn Thời,Xã,"Xã Trần Văn Thời, Tỉnh Cà Mau"
96,Cà Mau,32071,Trí Phải,Xã,"Xã Trí Phải, Tỉnh Cà Mau"
96,Cà Mau,32047,U Minh,Xã,"Xã U Minh, Tỉnh Cà Mau"
96,Cà Mau,31927,Vĩnh Hậu,Xã,"Xã Vĩnh Hậu, Tỉnh Cà Mau"
96,Cà Mau,31858,Vĩnh Lộc,Xã,"Xã Vĩnh Lộc, Tỉnh Cà Mau"
96,Cà Mau,31900,Vĩnh Lợi,Xã,"Xã Vĩnh Lợi, Tỉnh Cà Mau"
96,Cà Mau,31918,Vĩnh Mỹ,Xã,"Xã Vĩnh Mỹ, Tỉnh Cà Mau"
96,Cà Mau,31876,Vĩnh Phước,Xã,"Xã Vĩnh Phước, Tỉnh Cà Mau"
96,Cà Mau,31882,Vĩnh Thanh,Xã,"Xã Vĩnh Thanh, Tỉnh Cà Mau"
96,Cà Mau,31834,Vĩnh Trạch,Phường,"Phường Vĩnh Trạch, Tỉnh Cà Mau"
92,Cần Thơ,31150,An Bình,Phường,"Phường An Bình, Thành phố Cần Thơ"
92,Cần Thơ,31531,An Lạc Thôn,Xã,"Xã An Lạc Thôn, Thành phố Cần Thơ"
92,Cần Thơ,31594,An Ninh,Xã,"Xã An Ninh, Thành phố Cần Thơ"
92,Cần Thơ,31615,An Thạnh,Xã,"Xã An Thạnh, Thành phố Cần Thơ"
92,Cần Thơ,31168,Bình Thủy,Phường,"Phường Bình Thủy, Thành phố Cần Thơ"
92,Cần Thơ,31120,Cái Khế,Phường,"Phường Cái Khế, Thành phố Cần Thơ"
92,Cần Thơ,31186,Cái Răng,Phường,"Phường Cái Răng, Thành phố Cần Thơ"
92,Cần Thơ,31366,Châu Thành,Xã,"Xã Châu Thành, Thành phố Cần Thơ"
